Timestamp,Age,Gender,Location,Occupation,Education_Level,Per_Serving,Total_Monthly,Factor_Influence,Often_Restaurant,Recommend_Traditional,Recommend_International,Preference
2024/11/21 12:15:06 AM GMT+8,27,Male,Suburban,Student,Overseas Graduate,10,700,Budget Friendly,Weekly,8,10,International cuisine
2024/11/21 12:15:15 AM GMT+8,20,Female,City,Student,Local Graduate,10,450,Taste & Craving,Daily,10,5,Local cuisine
2024/11/21 12:15:36 AM GMT+8,21,Female,Suburban,Student,Secondary,8,320,Healthy Meal,Monthly,10,10,Local cuisine
2024/11/21 12:18:27 AM GMT+8,22,Female,Suburban,Student,Secondary,10,200,Budget Friendly,Monthly,8,6,Local cuisine
2024/11/21 12:19:06 AM GMT+8,18,Female,City,Student,Local Graduate,10,300,Budget Friendly,Monthly,7,5,International cuisine
2024/11/21 12:19:21 AM GMT+8,20,Female,Suburban,Student,Local Graduate,10,300,Taste & Craving,Monthly,7,7,Local cuisine
2024/11/21 12:20:07 AM GMT+8,22,Female,City,Student,Local Graduate,7,423,Taste & Craving,Rarely,7,6,Local cuisine
2024/11/21 12:21:02 AM GMT+8,19,Female,City,Student,Local Graduate,10,500,Taste & Craving,Weekly,9,10,Local cuisine
2024/11/21 12:21:28 AM GMT+8,20,Female,Suburban,Student,Local Graduate,10,400,Budget Friendly,Rarely,9,4,Local cuisine
2024/11/21 12:21:38 AM GMT+8,20,Female,City,Student,Local Graduate,10,300,Quick & Easy,Rarely,10,8,Local cuisine
2024/11/21 12:21:46 AM GMT+8,19,Female,Rural,Student,Local Graduate,9,450,Taste & Craving,Daily,7,7,International cuisine
2024/11/21 12:22:20 AM GMT+8,18,Female,City,Student,Local Graduate,10,250,Taste & Craving,Rarely,10,8,Local cuisine
2024/11/21 12:24:30 AM GMT+8,18,Male,City,Student,Secondary,6,400,Budget Friendly,Weekly,10,5,Local cuisine
2024/11/21 12:24:52 AM GMT+8,20,Male,Suburban,Student,Local Graduate,10,600,Taste & Craving,Weekly,7,3,Local cuisine
2024/11/21 12:24:56 AM GMT+8,20,Male,City,Student,Secondary,10,350,Taste & Craving,Rarely,8,6,Local cuisine
2024/11/21 12:25:20 AM GMT+8,18,Female,City,Student,Secondary,10,300,Taste & Craving,Rarely,9,4,Local cuisine
2024/11/21 12:25:24 AM GMT+8,18,Female,City,Student,Local Graduate,20,100,Taste & Craving,Monthly,8,4,Local cuisine
2024/11/21 12:26:31 AM GMT+8,21,Male,Suburban,Student,Local Graduate,10,400,Budget Friendly,Weekly,9,7,Local cuisine
2024/11/21 12:27:08 AM GMT+8,22,Female,Suburban,Student,Local Graduate,10,400,Budget Friendly,Weekly,7,6,International cuisine
2024/11/21 12:27:45 AM GMT+8,19,Female,City,Student,Local Graduate,10,550,Quick & Easy,Weekly,9,8,Local cuisine
2024/11/21 12:32:11 AM GMT+8,23,Male,Suburban,Student,Local Graduate,20,300,Taste & Craving,Daily,9,5,Local cuisine
2024/11/21 12:33:35 AM GMT+8,20,Male,City,Student,Local Graduate,10,200,Taste & Craving,Rarely,5,7,International cuisine
2024/11/21 12:37:49 AM GMT+8,19,Male,Rural,Student,Local Graduate,10,200,Taste & Craving,Daily,8.9,7,Local cuisine
2024/11/21 12:39:23 AM GMT+8,19,Female,Suburban,Student,Local Graduate,8,100,Budget Friendly,Monthly,10,8,Local cuisine
2024/11/21 12:39:43 AM GMT+8,20,Female,City,Student,Local Graduate,10,200,Taste & Craving,Daily,8,7,Local cuisine
2024/11/21 12:43:13 AM GMT+8,18,Female,Rural,Student,Local Graduate,15,450,Taste & Craving,Rarely,10,6,Local cuisine
2024/11/21 12:43:59 AM GMT+8,20,Female,Rural,Student,Local Graduate,10,200,Taste & Craving,Rarely,8,9,International cuisine
2024/11/21 12:50:26 AM GMT+8,25,Female,Rural,Student,Local Graduate,15,100,Taste & Craving,Monthly,7,6,Local cuisine
2024/11/21 12:51:03 AM GMT+8,18,Female,Suburban,Student,Secondary,6,300,Budget Friendly,Monthly,9,7,Local cuisine
2024/11/21 12:57:39 AM GMT+8,22,Female,City,Student,Local Graduate,10,300,Budget Friendly,Rarely,7,7,Local cuisine
2024/11/21 12:59:39 AM GMT+8,23,Female,City,Student,Local Graduate,14,300,Quick & Easy,Monthly,8,7,Local cuisine
2024/11/21 1:05:44 AM GMT+8,20,Female,City,Student,Local Graduate,8,400,Taste & Craving,Rarely,8,6,Local cuisine
2024/11/21 1:08:21 AM GMT+8,22,Female,City,Student,Local Graduate,10,350,Healthy Meal,Rarely,10,8,Local cuisine
2024/11/21 1:08:27 AM GMT+8,24,Female,Rural,Student,Local Graduate,20,800,Healthy Meal,Rarely,10,10,Local cuisine
2024/11/21 1:08:54 AM GMT+8,21,Female,Rural,Student,Local Graduate,10,550,Budget Friendly,Rarely,9,5,Local cuisine
2024/11/21 1:11:00 AM GMT+8,38,Female,City,Employed (Non Executive-level),Local Graduate,10,1000,Taste & Craving,Daily,10,5,Local cuisine
2024/11/21 1:12:55 AM GMT+8,23,Male,Suburban,Student,Local Graduate,15,300,Taste & Craving,Weekly,10,7,Local cuisine
2024/11/21 1:13:38 AM GMT+8,18,Female,City,Student,Local Graduate,15,150,Budget Friendly,Monthly,10,8,Local cuisine
2024/11/21 1:34:46 AM GMT+8,20,Female,Suburban,Student,Local Graduate,7,300,Taste & Craving,Daily,10,5,Local cuisine
2024/11/21 2:03:38 AM GMT+8,21,Female,City,Student,Local Graduate,7,250,Budget Friendly,Weekly,8,4,Local cuisine
2024/11/21 2:05:50 AM GMT+8,24,Female,Rural,Unemployed,Local Graduate,15,350,Taste & Craving,Rarely,10,4,Local cuisine
2024/11/21 2:13:14 AM GMT+8,18,Female,Rural,Student,Secondary,7,100,Budget Friendly,Rarely,9,7,Local cuisine
2024/11/21 2:25:36 AM GMT+8,22,Female,City,Student,Local Graduate,15,300,Taste & Craving,Monthly,10,10,Local cuisine
2024/11/21 2:45:48 AM GMT+8,21,Female,Rural,Student,Local Graduate,10,450,Budget Friendly,Monthly,10,7,Local cuisine
2024/11/21 2:47:31 AM GMT+8,22,Female,Suburban,Student,Local Graduate,10,560,Budget Friendly,Daily,10,8,Local cuisine
2024/11/21 2:48:49 AM GMT+8,21,Female,Rural,Student,Local Graduate,6,100,Quick & Easy,Rarely,10,10,Local cuisine
2024/11/21 2:51:12 AM GMT+8,17,Female,City,Student,Secondary,10,400,Taste & Craving,Weekly,7,6,Local cuisine
2024/11/21 3:01:16 AM GMT+8,24,Female,City,Student,Primary,10,10,Taste & Craving,Monthly,9,7,Local cuisine
2024/11/21 3:07:03 AM GMT+8,19,Female,City,Student,Local Graduate,6,500,Trending Meal,Monthly,8,8,International cuisine
2024/11/21 5:15:18 AM GMT+8,41,Female,City,Student,Local Graduate,20,1000,Taste & Craving,Daily,10,5,Local cuisine
2024/11/21 5:44:22 AM GMT+8,20,Male,City,Student,Secondary,10,500,Taste & Craving,Daily,10,7,Local cuisine
2024/11/21 5:53:51 AM GMT+8,30,Female,Suburban,Employed (Executive-level),Local Graduate,8,300,Taste & Craving,Monthly,9,6,Local cuisine
2024/11/21 5:58:48 AM GMT+8,18,Female,Suburban,Student,Local Graduate,9,400,Budget Friendly,Weekly,9,10,Local cuisine
2024/11/21 6:09:25 AM GMT+8,20,Female,City,Student,Local Graduate,10,400,Taste & Craving,Monthly,9,5,Local cuisine
2024/11/21 6:11:56 AM GMT+8,22,Female,Rural,Student,Local Graduate,15,350,Budget Friendly,Rarely,8,5,Local cuisine
2024/11/21 6:20:27 AM GMT+8,19,Female,Rural,Student,Local Graduate,9,300,Taste & Craving,Rarely,8,6,Local cuisine
2024/11/21 6:38:25 AM GMT+8,20,Female,Suburban,Student,Local Graduate,8,300,Budget Friendly,Weekly,9,5,Local cuisine
2024/11/21 7:01:31 AM GMT+8,23,Female,Rural,Student,Local Graduate,8,480,Budget Friendly,Daily,10,9,Local cuisine
2024/11/21 7:08:05 AM GMT+8,18,Female,City,Student,Secondary,6,360,Taste & Craving,Rarely,7,8,Local cuisine
2024/11/21 7:09:06 AM GMT+8,36,Female,City,Student,Overseas Graduate,20,300,Budget Friendly,Weekly,6,5,Local cuisine
2024/11/21 7:20:35 AM GMT+8,33,Female,Rural,Employed (Executive-level),Overseas Graduate,15,500,Taste & Craving,Daily,10,10,Local cuisine
2024/11/21 7:39:36 AM GMT+8,18,Female,Suburban,Student,Secondary,20,200,Budget Friendly,Weekly,8,7,International cuisine
2024/11/21 7:46:53 AM GMT+8,23,Male,City,Student,Local Graduate,20,400,Budget Friendly,Rarely,10,4,Local cuisine
2024/11/21 7:49:06 AM GMT+8,31,Male,City,Employed (Non Executive-level),Local Graduate,50,800,Budget Friendly,Monthly,9,8,Local cuisine
2024/11/21 8:06:17 AM GMT+8,23,Female,Suburban,Student,Local Graduate,10,300,Taste & Craving,Weekly,9,6,Local cuisine
2024/11/21 8:06:26 AM GMT+8,19,Female,City,Student,Local Graduate,15,350,Taste & Craving,Weekly,7,5,Local cuisine
